month,group,commodity,unit,quantity_2025,rupees_2025,dollar_2025,quantity_2024,rupees_2024,dollar_2024,tradetype,unknow
2025-07,Miscellaneous Group,RUBBER TYRES TUBES, NO,1202736.0,6749.495285,23716.764708215967,0.0,0.0,0.0,Import,
2025-07,Miscellaneous Group,WOOD CORK, - ,0.0,2698.200473,9481.191284407694,0.0,0.0,0.0,Import,
2025-07,Miscellaneous Group,JUTE, MT,2198.32034,527.439693,1851.314948364733,0.0,0.0,0.0,Import,
2025-07,Miscellaneous Group,PAPER PAPER BOARD MANUFTHEREOF, MT,50445.46562669999,12962.373454,45545.15700219407,0.0,0.0,0.0,Import,
Month,Group,COMMODITY,Unit,0.0,0.0,0.0,0.0,0.0,0.0,Import,
2025-08,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,3890.476873,2681.494779,9483.014917131291,4481.028772,3319.286641,11897.992149999998,Import,
2025-08,Food Group,WHEAT UNMILLED,  MT,0.0,0.0,0.0,0.0,0.0,0.0,Import,
2025-08,Food Group,DRY FRUITS NUTS,  MT,9697.828999999998,2682.038401,9489.436241614472,7540.062238,2114.51411,7578.98748,Import,
2025-08,Food Group,TEA,  MT,23409.9225821,15545.517245,54987.53637976858,23989.031130000003,16997.509632,60924.29024999982,Import,
2025-08,Food Group,SPICES,  MT,13035.7375143,4591.57969,16243.306007799754,17000.103669,5395.333257,19336.242429999995,Import,
2025-08,Food Group,SOYABEAN OIL,  MT,9889.0,3079.817745,10898.00040885048,21960.015,5911.796696,21193.89526,Import,
2025-08,Food Group,PALM OIL,  MT,323130.1882,95399.408323,337480.6725281024,273160.926,71327.695781,255690.32289000004,Import,
2025-08,Food Group,SUGAR,  MT,164.11579999999998,51.786359,183.0279870821932,416.12657,115.01811,412.36675,Import,
2025-08,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,104546.382208,20779.823521,73481.3458455671,84301.606,18491.275961,66280.46704000003,Import,
2025-08,Food Group,ALL OTHERS FOOD ITEMS,   - ,0.0,60353.980737,213522.98137239297,0.0,32965.099402,118159.51292000012,Import,
2025-08,Machinery Group,POWER GENERATING MACHINERY,   - ,0.0,14311.772939,50629.399344424535,0.0,14471.177514,51866.41735999998,Import,
2025-08,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,0.0,12391.647145,43831.6210275693,0.0,10131.570239,36317.43003999998,Import,
2025-08,Machinery Group,TEXTILE MACHINERY,   - ,0.0,14709.988759,52030.76721739167,0.0,9627.417517,34510.35409,Import,
2025-08,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,0.0,4801.185616,16985.42245065246,0.0,2287.616637,8199.972100000005,Import,
2025-08,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,0.0,63395.718703,224186.42906076805,0.0,71957.648299,257925.65006999965,Import,
2025-08,Machinery Group,TELE COM,   - ,0.0,57754.954556,204310.10127431547,0.0,33283.835479,119309.75063999988,Import,
2025-08,Machinery Group,A MOBILE PHONE,   - ,0.0,43860.633767,155164.13119006806,0.0,22118.229442,79289.78716999985,Import,
2025-08,Machinery Group,B OTHER APPARATUS,   - ,0.0,13894.320789,49145.970084247405,0.0,11165.606037,40019.96347000002,Import,
2025-08,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,0.0,4239.006334,14993.156535260783,0.0,3125.205182,11202.730659999992,Import,
2025-08,Machinery Group,OTHER MACHINERY,   - ,0.0,49062.902159,173529.99776809182,0.0,43904.972456,157376.08842000004,Import,
2025-08,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,0.0,86275.023001,305110.0250969624,0.0,53776.174394,192761.56315000003,Import,
2025-08,Transport Group,CBU,   - ,0.0,14404.379197,50921.83545534089,0.0,9430.970165,33803.42,Import,
2025-08,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,0.0,7030.750791,24857.71032291276,0.0,2580.838968,9250.3067,Import,
2025-08,Transport Group,BMOTOR CARS,   - ,0.0,7309.416649,25837.162999497123,0.0,6809.483795,24407.46002,Import,
2025-08,Transport Group,CMOTOR CYCLES,   - ,0.0,64.211757,226.9621329310108,0.0,40.647402,145.6532800000001,Import,
2025-08,Transport Group,CKDSKD,   - ,0.0,62982.411447,222757.68463624507,0.0,36770.291476,131805.03867,Import,
2025-08,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,0.0,12819.866704,45334.2259618391,0.0,8180.422672,29326.05356,Import,
2025-08,Transport Group,BMOTOR CARS,   - ,0.0,48307.820271,170865.376819596,0.0,27580.253263,98859.48916,Import,
2025-08,Transport Group,CMOTOR CYCLES,   - ,0.0,1854.724472,6558.08185480996,0.0,1009.615541,3619.49595,Import,
2025-08,Transport Group,PARTS ACCESSORIES,   - ,0.0,8148.678329,28814.723125787023,0.0,6742.41781,24168.580070000004,Import,
2025-08,Transport Group,OTHERS,   - ,0.0,739.554028,2615.781879589357,0.0,832.494943,2984.52441,Import,
2025-08,Transport Group,AIRCRAFTS SHIPS AND BOATS,   - ,0.0,2329.842189,8244.558637392025,0.0,1514.983449,5433.17036,Import,
2025-08,Transport Group,OTHERS TRANSPORT EQUIPMENTS,   - ,0.0,1534.739685,5427.693350307425,0.0,1014.311742,3635.942330000001,Import,
2025-08,Petroleum Group,PETROLEUM PRODUCTS,  MT,654283.2248153999,100299.922433,355060.78383189696,610068.242178,95446.099371,342145.81141999963,Import,
2025-08,Petroleum Group,PETROLEUM CRUDE,  MT,982917.2341204104,138204.676217,488711.4074034692,1072643.0,162679.0,584042.0,Import,
2025-08,Petroleum Group,NATURAL GAS LIQUIFIED,   - ,0.0,78227.331716,276842.5811083935,0.0,106422.267523,381489.98485,Import,
2025-08,Petroleum Group,PETROLEUM GAS LIQUIFIED,   - ,0.0,20365.934673,72039.7786902359,0.0,25088.765872,89922.61618999984,Import,
2025-08,Petroleum Group,OTHERS,   - ,0.0,3.415434,12.066284811587954,0.0,11.995684,42.98487,Import,
2025-08,Textile Group,RAW COTTON,  MT,63223.4493145,31823.678552,112601.41704931392,89206.71484949999,49231.142733,176476.99715999982,Import,
2025-08,Textile Group,SYNTHETIC FIBRE,  MT,48757.696697900006,19455.657015,68827.0372754111,43543.31042570001,17213.020917,61698.84127,Import,
2025-08,Textile Group,SYNTHETIC ARTIFICIAL SILK YARN,  MT,43552.952253200034,20398.789966,72155.07900393014,38591.33539419998,20705.504821,74213.13991000006,Import,
2025-08,Textile Group,WORN CLOTHING,  MT,90539.91150659992,12311.934746,43539.93521423646,98261.8649889998,12554.026728,44990.123679999626,Import,
2025-08,Textile Group,OTHR TEXTILE ITEMS, - ,0.0,58603.718448,207255.0196459406,0.0,48556.308572,174056.0915999997,Import,
2025-08,Agricultural And Other Chemicals Group,FERTILIZER MANUFACTURED, MT,84528.768075,16275.214914,57607.52884050807,178830.4470039,28833.405684,103335.72415,Import,
2025-08,Agricultural And Other Chemicals Group,INSECTICIDES, MT,2308.203037,2578.762613,9120.294425211288,1883.9966535,3064.232504,10982.50423,Import,
2025-08,Agricultural And Other Chemicals Group,PLASTIC MATERIALS, MT,203195.16803050003,67395.016625,238382.8607387861,162119.5936943001,57867.854086,207428.46833,Import,
2025-08,Agricultural And Other Chemicals Group,MEDICINAL PRODUCTS, MT,2533.2172853,31441.383782,111250.16871198584,3547.821001899999,28527.845305,102267.87282999998,Import,
2025-08,Agricultural And Other Chemicals Group,OTHERS, - ,0.0,124811.49971,441511.28062899766,0.0,120484.313466,431909.43912999966,Import,
2025-08,Metal Group,GOLD,KG,21.674,485.203905,1739.05526,21.674,485.203905,1739.05526,Import,
2025-08,Metal Group,IRON AND STEEL SCRAP, MT,312175.46272350004,43598.99416,154232.31138278404,284222.8385461,48009.58249,172079.95175999994,Import,
2025-08,Metal Group,IRON AND STEEL, MT,370482.0,64375.168203,227646.4464812044,173875.55140820012,35529.229559,127346.36853,Import,
2025-08,Metal Group,ALUMINIUM WROUGHT WORKED, - ,0.0,4717.159719,16685.9345678267,0.0,6657.474068,23864.330540000006,Import,
2025-08,Metal Group,ALL OTHER METALS ARTICALS, - ,0.0,28055.370666,99212.19067713378,0.0,28495.453608,102156.06186000005,Import,
2025-08,Miscellaneous Group,RUBBER CRUDE INCL SYNTHRECLAIMED, MT,46697.4720371,8364.077445,29585.989183455327,60320.2928782,8701.752321,31191.581680000003,Import,
2025-08,Miscellaneous Group,RUBBER TYRES TUBES, NO,960170.0,5450.433951,19275.4325661876,738101.0,3718.114328,13327.761450000004,Import,
2025-08,Miscellaneous Group,WOOD CORK, - ,0.0,2329.213703,8239.422783775979,0.0,2677.336212,9596.428750000005,Import,
2025-08,Miscellaneous Group,JUTE, MT,2112.5190999999995,508.037611,1796.8581870616022,679.7615,113.749183,407.68164,Import,
2025-08,Miscellaneous Group,PAPER PAPER BOARD MANUFTHEREOF, MT,44942.0315385,10814.706355,38254.62069758393,39989.61124789999,10623.706531,38079.37842000001,Import,
Month,Group,COMMODITY,Unit,0.0,0.0,0.0,0.0,0.0,0.0,Import,
2025-09,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,4628.46247,4018.167076,14249.5057239224,4210.537827499999,2674.774344,9597.000117951466,Import,
2025-09,Food Group,WHEAT UNMILLED,  MT,0.0,0.0,0.0,0.0,0.0,0.0,Import,
2025-09,Food Group,DRY FRUITS NUTS,  MT,19026.981629999995,5128.915802,18190.54300250521,15133.264414300002,3525.466608,12651.709603680913,Import,
2025-09,Food Group,TEA,  MT,21660.34588,14479.433916,51353.72406010422,21254.021863,14808.126213,53132.11158436857,Import,
2025-09,Food Group,SPICES,  MT,14189.047384,5375.13817,19063.10695952429,11811.684655,3919.94329,14062.46432719865,Import,
2025-09,Food Group,SOYABEAN OIL,  MT,13015.11892,3912.212413,13873.551276503962,7500.0,2050.542614,7360.452773547603,Import,
2025-09,Food Group,PALM OIL,  MT,343161.99242,101742.794415,360831.999015607,266218.3405,69983.007195,251120.2944405833,Import,
2025-09,Food Group,SUGAR,  MT,30728.011,5189.527187,18409.01212435733,297.052,88.8131,318.64010469395475,Import,
2025-09,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,96272.51,16042.757785,56897.417090674346,112393.137,19996.762894,71762.54966442309,Import,
2025-09,Food Group,ALL OTHERS FOOD ITEMS,   - ,0.0,64626.723504,229210.57659218137,0.0,46521.569283,166889.34027322903,Import,
2025-09,Machinery Group,POWER GENERATING MACHINERY,   - ,0.0,16716.409319,59275.81298812247,0.0,16818.591187,60352.00230218841,Import,
2025-09,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,0.0,16438.860828,58298.64126245402,0.0,11882.719054,42637.62814614616,Import,
2025-09,Machinery Group,TEXTILE MACHINERY,   - ,0.0,14409.164639,51099.25149060373,0.0,11368.092383,40784.95638104376,Import,
2025-09,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,0.0,4835.293485,17159.048434804845,0.0,3685.95149,13227.362610594306,Import,
2025-09,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,0.0,74284.590606,263434.53441329306,0.0,77598.858658,278397.99210939254,Import,
2025-09,Machinery Group,TELE COM,   - ,0.0,75964.951308,269463.62408685766,0.0,42778.43399,153507.9514899049,Import,
2025-09,Machinery Group,A MOBILE PHONE,   - ,0.0,56170.460452,199270.3750901192,0.0,28556.035547,102482.49584209926,Import,
2025-09,Machinery Group,B OTHER APPARATUS,   - ,0.0,19794.490856,70193.24899673849,0.0,14222.398443,51025.45564780562,Import,
2025-09,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,0.0,2783.794644,9872.32094871733,0.0,3426.407243,12297.834512650874,Import,
2025-09,Machinery Group,OTHER MACHINERY,   - ,0.0,50623.488735,179751.6690112305,0.0,46069.201202,165278.87642794667,Import,
2025-09,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,0.0,109649.548658,388866.66445430863,0.0,46471.345733,166747.22579069296,Import,
2025-09,Transport Group,CBU,   - ,0.0,38673.375277,137146.3043738004,0.0,7211.472799,25865.5696350014,Import,
2025-09,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,0.0,29778.451889,105605.7905185774,0.0,1601.596044,5743.045760793356,Import,
2025-09,Transport Group,BMOTOR CARS,   - ,0.0,8829.099377,31307.171274922785,0.0,5561.436329,19948.714776290715,Import,
2025-09,Transport Group,CMOTOR CYCLES,   - ,0.0,65.824011,233.3425803001954,0.0,48.440426,173.80909791732947,Import,
